,id,construidos_m,utiles_m,habitaciones,baños,terraza,balcon,estado,orientacion,garaje,año_construido,calefaccion,planta,ascensor,aire_acondicionado,zonas_verdes_o_jardin,ciudad,zona,etiqueta_energetica,precio,precio_anterior,titulo_anuncio
291,291,450.0,450.0,14.0,6.0,SI,NO,Buen estado,este,NO,1984.2057416267942,NO,2,NO,SI,NO,Igualada,Centre,e,370000,370000,"Casa o chalet independiente en venta en Baixada de Sant Nicolau, 5"
292,292,136.2871287128713,112.65346534653466,3.4526315789473685,1.8169934640522876,NO,NO,Por reformar,sur,NO,1984.2057416267942,NO,2,NO,NO,NO,Igualada,Centre,NO,300000,300000,"Casa de pueblo en venta en calle retir, 29"
293,293,100.0,90.0,3.0,1.0,SI,NO,Buen estado,sur,NO,1984.2057416267942,NO,4,NO,NO,NO,Igualada,Llevant,NO,110000,110000,"Piso en venta en calle Doctor Coca, 28"
294,294,422.0,422.0,9.0,5.0,SI,NO,Buen estado,no_definido,NO,1984.2057416267942,NO,2,NO,SI,NO,Igualada,Centre,NO,200000,200000,"Chalet pareado en venta en calle Retir, 3"
295,295,106.0,106.0,3.0,2.0,NO,NO,Buen estado,sur,SI,1984.2057416267942,NO,2,SI,SI,NO,Igualada,Ponent,NO,220000,220000,"Piso en venta en calle Pobla de Claramunt, 7"
296,296,91.0,80.0,4.0,1.0,NO,NO,Buen estado,no_definido,NO,1980.0,SI,1,NO,NO,NO,Igualada,Igualada,e,95000,95000,Piso en venta en Ponent
297,297,78.0,70.0,3.0,2.0,NO,NO,Buen estado,este,NO,1960.0,NO,2,SI,NO,NO,Igualada,Igualada,f,175000,175000,"Piso en venta en Urb. Pau Casals, Llevant"
298,298,136.2871287128713,112.65346534653466,8.0,4.0,NO,NO,Por reformar,no_definido,NO,1950.0,NO,2,NO,NO,NO,Igualada,Igualada,g,330000,330000,Casa o chalet independiente en venta en Centre
299,299,65.0,60.0,3.4526315789473685,1.0,NO,NO,Buen estado,norte,NO,1984.2057416267942,NO,1,SI,SI,NO,Igualada,Centre,a,150000,150000,"Estudio en venta en calle Rambla Sant Isidre, 8"
300,300,67.0,67.0,3.0,1.0,NO,NO,Buen estado,no_definido,NO,2009.0,SI,2,NO,NO,NO,Igualada,Centre,NO,94400,94400,Piso en venta en calle del Roser
301,301,90.0,90.0,3.4526315789473685,1.0,NO,NO,Buen estado,no_definido,NO,2008.0,SI,2,NO,NO,NO,Igualada,Centre,NO,110900,110900,Piso en venta en calle de Sant Ignasi
302,302,41.0,41.0,2.0,1.0,NO,NO,Buen estado,no_definido,NO,1984.2057416267942,NO,2,NO,NO,NO,Igualada,Pla de Sant Magi,NO,64800,64800,Piso en venta en calle de Santiago RusiÃ±ol
303,303,73.0,73.0,3.0,1.0,NO,NO,Buen estado,no_definido,NO,1984.2057416267942,NO,2,NO,NO,NO,Igualada,Pla de Sant Magi,NO,117000,117000,Piso en venta en calle de Carme Verdaguer
304,304,55.0,55.0,3.0,1.0,NO,NO,Buen estado,no_definido,NO,1984.2057416267942,NO,3,NO,NO,NO,Igualada,Llevant,NO,48000,48000,"Piso en venta en calle de Pau Muntadas, 83"
305,305,67.0,63.0,4.0,1.0,SI,NO,Por reformar,este,NO,1984.2057416267942,NO,4,SI,NO,NO,Igualada,Centre,b,120000,120000,"Piso en venta en calle de Sant Antoni de Baix, 37"
306,306,395.0,395.0,4.0,3.0,SI,SI,Buen estado,sur,SI,1984.2057416267942,NO,2,NO,NO,JardÃ­n,Igualada,Ponent,b,450000,450000,"Chalet pareado en venta en avenida del Doctor Pasteur, 48"
